lr-AdamW,step,val_loss,val_acc,epoch,train_loss,train_acc
0.01,0,,,,,
,4,0.21375878155231476,0.699999988079071,0,,
0.01,5,,,,,
,9,0.12484084814786911,0.8999999761581421,1,,
0.01,10,,,,,
,14,0.18399500846862793,0.7666666507720947,2,,
0.01,15,,,,,
,19,0.2738456130027771,0.7333333492279053,3,,
0.01,20,,,,,
,24,0.3237435519695282,0.6666666865348816,4,,
0.01,25,,,,,
,29,0.2024650126695633,0.800000011920929,5,,
0.01,30,,,,,
,34,0.21296019852161407,0.7333333492279053,6,,
0.01,35,,,,,
,39,0.20500510931015015,0.7333333492279053,7,,
0.01,40,,,,,
,44,0.16621141135692596,0.800000011920929,8,,
0.01,45,,,,,
,49,,,9,0.10301591455936432,0.875
,49,0.1300877183675766,0.8666666746139526,9,,
0.01,50,,,,,
,54,0.18562859296798706,0.800000011920929,10,,
0.01,55,,,,,
,59,0.1753673553466797,0.800000011920929,11,,
0.01,60,,,,,
,60,,,12,0.06524761766195297,0.875
,61,,,12,0.05133955180644989,0.875
,62,,,12,9.98377799987793e-07,1.0
,63,,,12,0.25357359647750854,0.8125
,64,,,12,0.10809914767742157,0.875
,64,0.17435264587402344,0.800000011920929,12,,
0.006,65,,,,,
,65,,,13,0.07029356062412262,1.0
,66,,,13,0.12469895929098129,0.875
,67,,,13,0.15004386007785797,0.75
,68,,,13,0.11824481934309006,0.875
,69,,,13,0.2100837528705597,0.875
,69,0.19411128759384155,0.800000011920929,13,,
0.006,70,,,,,
